formation_year,year,month,Mkt_RF,ME,IA,ROE
2008,2008,7,-0.03145707,-0.11045917148895974,-0.030561015305978864,-0.0451560961394368
2008,2008,8,-0.18127472,0.12349182049397922,-0.09122859213701077,-0.31160044711462703
2008,2008,9,-0.05592762,0.07132813579877492,0.02044312179433775,-0.029768318270295288
2008,2008,10,-0.16806865,0.141598546145944,0.022755477320174935,-0.13971590370369516
2008,2008,11,-0.05009121,0.04358525680582298,-0.007776837859000345,0.05504618208576856
2008,2008,12,-0.04699232,-0.020109562244543536,0.02105162491277689,0.007624365590760385
2008,2009,1,0.0173333,-0.05586724212915807,0.0021518370182615296,0.09142041321147855
2008,2009,2,-0.02977251,0.013149894768526384,0.03169100022664525,-0.02108085789160399
2008,2009,3,-0.1042258,0.09789848984483837,0.04617846484771811,-0.06251479525772875
2008,2009,4,0.21363099,0.10799219688907291,-0.198393994196767,-0.12920371345258697
2008,2009,5,0.04586062,-0.04609480135477748,-0.07874247485360167,-0.09084084650043417
2008,2009,6,0.25242459,-0.40169334539194135,-0.07556783067336842,0.5640462045408909
2009,2009,7,0.04410909,-0.07728041535416633,-0.05506847004583121,-0.09578638207237064
2009,2009,8,0.04799843,-0.04984777232857477,0.009255872861307135,-0.03658370896777363
2009,2009,9,0.08945641,3.4363858300294625,5.460639813206215,4.662561885219871
2009,2009,10,0.25353317,-0.14080502976918824,-0.19435723942394367,-0.26967901218395196
2009,2009,11,-0.05708512,-0.011297111402863628,-0.1543454994756848,-0.10089826985650116
2009,2009,12,-0.06202212,0.04059719754601383,0.03409681390018661,0.04091259217699901
2009,2010,1,0.06470057,-0.032293140703137935,-0.024560324246924538,-0.041664513196002326
2009,2010,2,0.01940942,0.04220439993564945,-0.08334347314399038,-0.10789170697947645
2009,2010,3,0.15997896,0.10350480477476567,0.09937574533355666,0.08944460765315648
2009,2010,4,0.0816402,-0.04233227963444493,0.03146618500441198,-0.07389111835482118
2009,2010,5,-0.00106097,0.059674083025776134,0.0658101295564469,0.06947215303438345
2009,2010,6,0.00333791,0.2422564669139754,0.3432026093765323,0.34266522321204673
2010,2010,7,0.09195397,0.025670614205547122,-0.01600267301212485,-0.03152934360028556
2010,2010,8,0.05973179,0.0440184393827867,0.1929852879637511,0.13789621508764344
2010,2010,9,0.13279069,-0.10380903117268633,-0.0908516960409809,0.019469535419250228
2010,2010,10,-0.04744476,-0.01416806218448584,0.0022095781094833636,0.12875369248968282
2010,2010,11,-0.00271343,-0.008447088473666178,0.0143565979563502,0.026449746977977952
2010,2010,12,-0.00789727,-0.01883224594095059,0.03273160202273086,0.04938555620423751
2010,2011,1,0.02402804,-0.03410827375568676,0.032590320173025183,0.028895755254106995
2010,2011,2,-0.00758308,-0.012759777151811896,-0.05815132733889216,-0.07935911476803612
2010,2011,3,0.06558928,0.019209183722729305,0.048562260460401345,0.031241034783877575
2010,2011,4,-0.00873856,-0.022377187074706394,0.0027857604818988455,0.02490190501800251
2010,2011,5,0.06826701,-0.04760990886273047,-0.1439047419298616,-0.0992261909918138
2010,2011,6,-0.04165542,0.04588083270432075,-0.015591083883124694,0.030092698370248482
2011,2011,7,0.01893187,0.040498552726844925,-0.004943814952529227,0.060973570645141896
2011,2011,8,0.0495644,0.06648003875429515,0.07997346398217292,0.017093488443732686
2011,2011,9,-0.01381845,0.07432962929508752,-0.11704815413333586,-0.020218716285315512
2011,2011,10,-0.0275749,0.057120046671641,-0.12710191774125743,-0.017654551196409844
2011,2011,11,-0.18934446,0.1335179236402722,-0.2437495794786974,-0.05274018583244494
2011,2011,12,0.11933741,-0.019733520490880938,0.15187624857146662,-0.018382082466447264
2011,2012,1,0.08755444,-0.042536155969770235,0.06406080289886833,0.009226312603225467
2011,2012,2,-0.03028265,-0.027372880586604448,0.06072359834483729,-0.11894623042575096
2011,2012,3,-0.05348411,0.04589941889748127,-0.047930871590106484,-0.019491753409090352
2011,2012,4,0.01217133,-0.012768683186995445,-0.006521896019904621,0.009381790638118243
2011,2012,5,0.0082875,-0.011774579243791961,-0.028666630315976563,0.005522839965947678
2011,2012,6,-0.04233236,-0.025251850153263575,0.04205586901041191,0.052074313053074514
2012,2012,7,-0.10306188,0.10148527335845413,0.02209467654474943,-0.05317370658261719
2012,2012,8,-0.09122755,0.08529542148633529,0.018850750684675715,0.018322495331694052
2012,2012,9,0.209998,-0.044701231030381317,0.04733859212954414,0.25006181190347876
2012,2012,10,-0.06546906,0.06318475194558994,0.016037919043816753,-0.03837670809047881
2012,2012,11,0.03416661,0.01861080204240389,0.09719534731816176,-0.02211003402862099
2012,2012,12,0.06495752,-0.0038564232776649374,0.2807414170211718,0.23766232279227556
2012,2013,1,-0.11355677,0.07200450330285134,-0.03708096963647221,-0.024066339733220744
2012,2013,2,-0.01534063,0.0018611240263471211,-0.014400853858240317,-0.15243059119351177
2012,2013,3,0.10454328,0.045077824431561234,0.05879375404467792,-0.002157856606166471
2012,2013,4,0.03832778,0.08264810996402475,-0.0848308046214285,-0.13936790982160588
2012,2013,5,0.0493433,0.1754315266097662,0.04038262410062235,0.10131125467341057
2012,2013,6,0.21051012,0.12149542920474896,-0.08325480451672179,-0.09017576057601714
2013,2013,7,0.14128728,0.2674409630702239,0.17339751700716,0.13837200908573427
2013,2013,8,-0.0705084,0.15778433201566514,0.05355693976460509,-0.17666045282818924
2013,2013,9,0.11661921,0.004648452638310069,0.05369742562120271,-0.014824715319108298
2013,2013,10,0.08072042,-0.013260377419905565,0.06821292842189895,0.02994256108864371
2013,2013,11,0.18195315,-0.0750425590335336,-0.43221685552100725,-0.47158938408284756
2013,2013,12,0.11227279,0.09983042190746191,0.027867613498338023,-0.0952024768430266
2013,2014,1,-0.05709404,0.0765339385836061,-0.08059279129850117,-0.04056920111645369
2013,2014,2,-0.0644307,0.03630076915807036,0.05395164991017994,0.0036465019390071185
2013,2014,3,-0.04921807,0.02719003521876355,-0.016509279447818534,-0.033142531924201364
2013,2014,4,-0.03104152,-0.053124224219058325,-0.03203891032194004,0.04800458609296819
2013,2014,5,-0.04579461,0.04814390949187244,-0.1804379373969512,-0.1204245030409322
2013,2014,6,-0.08283699,0.005229223834065884,0.01658832472681407,0.05797491827617242
2014,2014,7,0.12497331,-0.061861900910199115,-0.04812842430792366,0.04360884689492878
2014,2014,8,-0.08021211,0.07593503311406483,-0.007478721241573779,-0.07677054318216758
2014,2014,9,-0.074917,0.07437534433054316,0.019774944243315818,-0.003146482098130683
2014,2014,10,0.05981406,0.048282514327854055,-0.002582096241386722,-0.12170208774869593
