formation_year,year,month,Mkt_RF,SMB,HML,RMW,CMA,P_CMA_BA,P_CMA_BC,P_CMA_BN,P_CMA_SA,P_CMA_SC,P_CMA_SN,P_HML_BH,P_HML_BL,P_HML_BN,P_HML_SH,P_HML_SL,P_HML_SN,P_RMW_BN,P_RMW_BR,P_RMW_BW,P_RMW_SN,P_RMW_SR,P_RMW_SW
2008,2008,7,0.08495432,-0.12500378,-0.02318384,0.01405521,-0.05185977,0.16713295,0.04515358,0.06587634,-0.0761498,-0.05788996,0.02389872,0.04319444,0.10364955,0.06644847,-0.07675621,-0.09084364,-0.00998722,0.27331451,0.0124793,-0.02450754,-0.03906279,-0.02718895,-0.01831253
2008,2008,8,-0.3539402,0.13855264,0.20464281,-0.23796186,-0.07601845,0.12938348,-0.05407723,-0.43212862,-0.02760103,0.00382279,0.01533759,0.0238128,-0.3562414,-0.14465017,0.00554655,-0.02368487,0.002493,0.05394929,-0.4858747,-0.00826919,0.02728951,-0.01432187,-0.01600366
2008,2008,9,-0.15285276,0.09072766,0.02936712,-0.0614115,0.01979015,-0.12233234,-0.05149014,-0.15450098,-0.02456553,-0.05582744,0.00617343,-0.06508397,-0.14609203,-0.1116794,-0.01035892,0.01191489,-0.03114989,-0.11073457,-0.16598352,-0.0615624,-0.0319791,-0.02775988,-0.00935799
2008,2008,10,-0.28099943,0.17598919,0.10162184,-0.16694024,0.04641054,-0.14531067,-0.0292347,-0.30938977,-0.00527952,-0.0285344,0.01137788,-0.06380973,-0.27496667,-0.20250239,0.02823195,0.0361452,-0.02148499,-0.17953845,-0.33574862,-0.03473692,-0.01850316,-0.01307848,0.0197903
2008,2008,11,0.01847923,0.0529302,-0.07295962,0.06963913,0.01353472,-0.0392321,-0.03252922,0.04486909,-0.00714852,0.01321803,0.0573885,-0.0580383,0.0348385,-0.05832723,0.03214425,0.08518669,0.02245505,-0.11302483,0.06784671,-0.03632136,0.00662147,0.05584889,0.02073871
2008,2008,12,-0.00068277,0.01142321,-0.08930701,-0.04668202,0.03014149,-0.02651889,0.01826416,0.01459502,-0.05696985,-0.04146992,-0.01106623,-0.09464401,0.02035505,-0.19267754,-0.02719603,0.03641892,-0.03361504,-0.08548109,0.02377396,0.01763789,-0.03951887,-0.06398481,0.0355153
2008,2009,1,0.08594244,-0.06378054,-0.1097855,0.04876983,0.00858027,-0.00751961,-0.02118052,0.12051529,-0.07513343,-0.04431198,-0.02827983,-0.04214497,0.10229659,0.03712381,-0.00511471,0.07001472,-0.05694594,-0.02013679,0.13698968,-0.00665509,-0.01617017,-0.08245011,-0.036345
2008,2009,2,-0.08961835,0.02937726,0.0468102,-0.06773301,0.04751705,-0.00997424,0.11287572,-0.10228493,0.00921032,-0.01860553,-0.01335124,-0.04002691,-0.0779537,-0.09380155,0.0266737,-0.02901992,-0.02224987,-0.06686151,-0.10349388,0.03941884,-0.01651797,-0.00319981,-0.01064651
2008,2009,3,-0.27743718,0.10831587,0.22336455,-0.13215561,0.02505829,-0.0787068,-0.01632544,-0.31089771,0.00325651,-0.00900826,-0.01840104,0.0345467,-0.27982641,-0.04143745,0.01082684,-0.12152915,-0.00789593,-0.05839549,-0.33640343,-0.05923331,-0.02257096,0.00317217,-0.00968673
2008,2009,4,0.16054788,-0.02664825,0.00550829,0.00242031,-0.10087791,0.01024368,0.01614363,0.20655705,0.22008279,0.01242703,0.04995557,0.05239387,0.17539358,0.1385784,0.0628152,-0.0712011,0.07773386,-0.01985632,0.22825382,0.04785387,0.04904331,0.01965568,0.19521502
2008,2009,5,0.05990349,-0.03999389,0.02716309,-0.03832004,-0.09229089,0.1824446,0.09714781,0.0561808,0.10755515,0.00827017,0.061343,0.09166102,0.07113825,0.07928183,0.04058932,0.00678591,0.05708905,0.04263171,0.06438648,0.12631931,0.02049982,0.06720356,0.08191082
2008,2009,6,0.43690531,-0.16218715,-0.32311407,0.27819763,-0.04872222,0.06195392,0.01047191,0.54170566,0.05722456,0.01126212,0.01284642,0.0548687,0.46655296,0.13640416,0.07789616,0.31244004,-0.0006201,0.08411822,0.60300645,0.0345385,0.02927908,0.01076759,0.02284029
2009,2009,7,0.16907727,-0.0860637,0.07028861,-0.09821737,-0.06011052,0.23504821,0.11372219,0.02352544,0.03640938,0.03751436,0.10605591,-0.02603353,0.1939368,0.09360881,0.08166148,-0.27888606,0.04722253,0.09132604,0.01956714,0.21855797,0.08765167,0.03680629,0.0342502
2009,2009,8,0.14861637,-0.08537514,0.02440446,0.07756872,0.00948895,0.16652368,0.16638779,0.13151235,0.10074582,0.11985962,0.04306022,0.25632915,0.15379313,0.21907218,0.09630056,0.15002766,0.053811,0.16115836,0.20585989,0.15735255,0.04598119,0.17322841,0.06659832
2009,2009,9,0.02361362,0.03752023,-0.0522143,-0.02019106,-0.03343232,0.0551318,-0.01808039,0.00751173,0.03431605,0.0406636,0.04530258,0.02160467,0.03947497,-0.04741432,0.06776247,0.15432078,0.02452702,-0.00104525,0.04093653,0.043344,0.05018072,0.012049,0.05002366
2009,2009,10,0.33232209,-0.10715938,-0.15014917,-0.22934451,-0.18503494,0.47310413,0.13434904,0.06416041,0.11187118,0.08055638,0.09241471,0.05968747,0.37129457,0.10793446,0.10452843,0.09321968,0.0914807,0.12401201,0.05362848,0.43486225,0.10308823,0.05199191,0.12944715
2009,2009,11,0.02138843,0.02299294,0.00461631,-0.02412279,-0.09717477,0.08235248,-0.1130796,0.00617298,0.01456076,0.0156433,0.01668085,-0.0267782,0.03624089,-0.02991248,0.03531162,-0.0369401,0.02341309,-0.09550624,0.01901505,0.06954617,-0.01093522,0.04976935,0.04748381
2009,2009,12,-0.09432374,0.05883584,-0.06018963,0.02450879,0.04906776,-0.10684027,-0.05303959,-0.04086293,-0.0456761,-0.00134127,-0.02164954,-0.10664973,-0.08653776,-0.07110013,-0.02983327,0.07043401,-0.02774732,-0.04453692,-0.0544676,-0.09908707,-0.02362943,-0.02487919,-0.0292773
2009,2010,1,0.06481902,-0.04854041,0.06493853,-0.00935001,-0.02561349,0.09924062,0.0460313,0.015465,0.0253791,0.02736143,0.02126377,0.05339074,0.07428012,0.09124115,0.05369145,-0.097075,0.01820245,0.02505642,0.06003438,0.0902353,0.0260197,0.02738468,0.01588378
2009,2010,2,0.05244909,0.0196618,0.02511884,-0.05149435,-0.08884133,0.09494985,-0.01845362,0.02806375,0.09082349,0.0265443,0.05024456,0.06211652,0.06398774,0.02665066,0.10568954,0.05358063,0.0274929,-0.01448278,0.02472878,0.08884018,0.06369285,0.03820587,0.07708318
2009,2010,3,-0.00725952,0.02709028,0.0711909,0.02540888,0.0541624,-0.03157394,0.06502979,0.0554092,0.07000425,0.08172533,0.06152366,0.11748427,-0.00601103,0.0645756,0.07645375,0.05756725,0.06632504,0.05439385,0.07326514,-0.01776311,0.07138775,0.04671239,0.08692287
2009,2010,4,0.115987,-0.04473611,-0.00422255,-0.0180612,0.01719689,0.13668022,0.12455334,0.08558819,0.0398711,0.08639175,0.05663247,0.08962454,0.1313438,0.07252945,0.06234629,0.02907214,0.05211743,0.10602737,0.02813257,0.13822189,0.05134239,0.10313487,0.02916795
2009,2010,5,-0.06043776,0.06428585,0.04036204,0.02970988,0.02475774,-0.08397631,0.00628458,0.00452553,0.05626499,0.01551958,0.03827385,-0.00987441,-0.05453393,-0.02367713,0.06387794,0.02781337,0.03598078,0.00045226,-0.00824595,-0.06942268,0.05675145,0.02193282,0.02368979
2009,2010,6,-0.05517752,0.06978131,0.02903758,0.0526078,0.06974038,-0.09575492,0.02103264,0.04976313,0.04406895,0.06676213,0.07268572,0.0281712,-0.05793929,0.06752237,0.09318046,0.1212158,0.0433777,0.01920104,0.03509214,-0.07254242,0.06429854,0.05728471,0.05970367
2010,2010,7,0.1295992,-0.00746378,0.05353607,0.10068114,-0.00657408,0.16585363,0.05406103,0.04001747,0.05796998,0.15661443,0.10025916,0.18588887,0.14515992,0.0328664,0.13551281,0.06916964,0.1073056,0.15434221,0.1398302,0.03655064,0.13519284,0.11172733,0.0136446
2010,2010,8,-0.01351822,0.02724946,0.13352364,-0.02406059,0.17445453,-0.07670187,0.22191003,0.09969818,0.10011188,0.15040903,0.08551291,0.18580606,-0.01573915,0.10705406,0.10618804,0.04068596,0.13655791,-0.0318371,0.06523207,0.14675034,0.10615733,0.1275959,0.09419879
2010,2010,9,0.18846235,-0.08022188,-0.07356996,-0.03814682,-0.14963932,0.25812302,0.03988297,0.07230933,0.07253383,-0.00850476,0.04228553,0.01001809,0.2118374,0.0564621,0.02417745,-0.03050195,0.04941321,0.2242399,0.05516552,0.07249398,0.01794617,0.02611034,0.08507553
2010,2010,10,-0.05391219,0.03637968,-0.02971414,-0.02677605,-0.06690254,-0.03223266,-0.09949513,-0.04064153,0.01257738,-0.05396522,-0.0061784,-0.06141959,-0.04599005,-0.01263557,-0.01937353,0.02462521,-0.01446313,-0.04546985,-0.02345657,-0.04338767,-0.03507248,-0.02947226,0.04401094
2010,2010,11,-0.04448475,-0.01238361,0.021646,-0.01868314,0.02145702,-0.04727567,-0.00442074,0.00164214,-0.04131882,-0.04125971,0.021715,-0.00446107,-0.04124727,0.0475084,-0.0327271,-0.03923291,-0.01235323,-0.04426392,-0.02691125,0.02110265,-0.0041758,-0.02488953,-0.03553716
2010,2010,12,-0.01658077,-0.02179017,0.07475361,0.00220126,0.04390314,-0.01617994,0.03627916,-0.00917732,-0.02434268,0.0110045,-0.01532371,0.10667185,-0.01049582,0.01353603,0.01499216,-0.01734737,-0.01415589,-0.01105229,0.00883973,0.01456517,-0.02523395,0.00870495,-0.00142302
2010,2011,1,0.04136414,-0.03009285,0.09371743,-0.01143364,0.03417075,0.03127921,0.09681821,0.10644837,0.06128143,0.06408393,0.04491207,0.13730261,0.04383111,0.1410134,0.1063024,0.01233903,0.0399198,0.04218015,0.04043163,0.11141938,0.05909627,0.070037,0.02191652
2010,2011,2,0.06716446,-0.04779997,0.00433284,0.00510678,-0.07035868,0.10875453,-0.01776473,0.01732947,0.01958641,0.00538831,0.00867218,0.09940103,0.07696129,0.07226873,0.00284069,0.01661474,0.00714685,0.08278363,0.03375228,0.04654053,0.00398138,0.02429912,0.00129731
2010,2011,3,0.02019723,0.01985778,-0.00793377,0.05419839,0.06156698,0.00815446,0.08904344,0.06937207,0.07972745,0.12197241,0.0595445,0.1902371,0.01579586,0.18921336,0.05736039,0.24766917,0.07344386,0.02696595,0.05502246,0.03995959,0.10655765,0.1047714,0.01143748
2010,2011,4,0.03631257,-0.00849159,-0.03925828,-0.00079731,0.00557006,0.03276339,0.08387478,0.07400302,0.04491081,0.00493955,0.05633546,0.00546581,0.04674864,0.05367302,0.03581519,0.07304893,0.02805784,0.04364976,0.00272878,0.06903721,0.02136672,0.06787972,0.0031659
2010,2011,5,0.1326013,-0.04743671,-0.03710565,0.03236261,-0.12894686,0.22068435,-0.0507634,-0.06742353,-0.01832835,-0.00477433,-0.02043926,0.0771033,0.15987191,-0.09521582,0.01046995,0.00191265,-0.02737978,0.17680495,-0.04372504,-0.05725143,-0.03625504,0.01957393,-0.0316249
2010,2011,6,-0.04089005,0.04020621,-0.00853307,0.02113818,-0.02567365,-0.02042862,-0.07422756,-0.02697349,-0.00111045,0.00134119,0.00450692,-0.04248665,-0.03112051,-0.00922213,0.02479016,0.03049017,-0.01742357,-0.02438816,-0.03393953,-0.06555544,0.02337212,-0.01089614,-0.02155659
2011,2011,7,0.04075775,-0.01697096,-0.00666334,0.0597987,0.0178241,0.02120149,0.0581136,0.01613056,0.01274553,0.01148164,0.04142772,0.03281954,0.05551834,0.02087797,0.01674339,0.00737128,0.03072457,0.05786278,0.06290399,0.00719665,0.01590692,0.05368765,-0.01020239
2011,2011,8,0.13464154,-0.01287369,-0.07753304,-0.0044006,0.07204484,-0.00757678,0.17457747,-0.00174977,0.06338726,0.02532268,0.0553086,0.00235141,0.16108574,0.02708425,0.03274731,0.02907907,0.06630352,0.17489922,-0.01222955,-0.0002955,0.06243177,0.03541795,0.0322851
2011,2011,9,-0.138987,0.09560148,0.07188133,-0.01855602,-0.10983335,0.04211255,-0.17135065,0.07790241,0.08634664,0.08014314,0.05483329,0.01240002,-0.15354142,0.08452418,0.08292446,0.10510325,0.05547988,-0.17184229,0.047382,0.06741095,0.05477316,0.07936209,0.09644518
