ticker,year,month,ret_monthly,n_days,first_close,last_close
آباد,2005,1,0.25666667,6,617.32,775.76
آباد,2005,2,0.15959328,18,794.63,899.57
آباد,2005,3,0.21273351,17,909.17,1090.94
آباد,2005,4,0.14995284,16,1081.34,1254.53
آباد,2005,5,0.29196282,21,1226.06,1620.8
آباد,2005,6,-0.14473127,19,1539.87,1386.22
آباد,2005,7,-0.01830777,21,1317.29,1360.84
آباد,2005,8,0.03729839,23,1356.73,1411.6
آباد,2005,9,0.16958212,14,1400.28,1650.98
آباد,2005,10,-0.28167844,1,1185.94,1185.94
آباد,2005,11,-0.09051475,16,1185.25,1078.59
آباد,2005,12,-0.32368839,9,613.2,729.46
آباد,2006,1,-0.16737188,22,737.7,607.37
آباد,2006,2,-0.13099944,18,594.68,527.81
آباد,2006,3,-0.02079272,15,532.61,516.83
آباد,2006,4,-0.04246848,14,516.83,494.88
آباد,2006,5,0.01940402,22,498.31,504.49
آباد,2006,6,-0.01087695,17,504.14,499.0
آباد,2006,7,0.07285223,23,499.0,535.35
آباد,2006,8,0.13965407,14,524.72,610.12
آباد,2006,9,0.60427206,18,835.44,978.79
آباد,2006,10,-0.0287316,20,997.66,950.67
آباد,2006,11,-0.0487013,14,949.98,904.37
آباد,2006,12,-0.09215017,21,891.34,821.03
آباد,2007,1,0.05973266,20,823.09,870.08
آباد,2007,2,0.12258573,18,861.85,976.73
آباد,2007,3,0.0863764,10,993.2,1061.1
آباد,2007,4,-0.04912734,19,1070.36,1008.97
آباد,2007,5,-0.03636982,18,1007.94,972.28
آباد,2007,6,-0.01269841,16,981.88,959.93
آباد,2007,7,-0.03679886,17,959.93,924.61
آباد,2007,8,-0.03004451,15,942.44,896.83
آباد,2007,9,0.03518164,17,894.43,928.38
آباد,2007,10,-0.05947543,13,909.86,873.16
آباد,2007,11,-0.09230165,11,856.01,792.57
آباد,2007,12,0.01774124,8,791.88,806.63
آباد,2008,1,-0.14115646,3,690.71,692.77
آباد,2008,2,0.08217822,7,694.14,749.7
آباد,2008,3,0.00365965,6,753.13,752.44
آباد,2008,4,-0.00091158,1,751.76,751.76
آباد,2008,5,0.05520073,10,749.01,793.25
آباد,2008,6,-0.00302637,1,790.85,790.85
آباد,2008,7,-0.02385082,4,771.65,771.99
آباد,2008,8,-0.0293203,1,749.36,749.36
آباد,2008,9,-0.00549199,1,745.24,745.24
آباد,2008,10,-0.06580764,6,745.24,696.2
آباد,2008,11,-0.00098522,3,696.2,695.51
آباد,2008,12,0.0,1,695.51,695.51
آباد,2009,1,0.0,1,695.51,695.51
آباد,2009,4,-0.11094675,6,620.41,618.35
آباد,2009,5,-0.02773156,5,618.0,601.2
آباد,2009,6,0.01426127,6,603.6,609.77
آباد,2009,8,-0.01219512,4,609.77,602.34
آباد,2009,9,-0.02858999,10,599.21,585.12
آباد,2009,10,-0.00267559,2,583.94,583.55
آباد,2009,11,0.0,4,583.55,583.55
آباد,2009,12,-0.00603622,8,585.51,580.03
آباد,2010,1,-0.02496626,6,580.03,565.55
آباد,2010,3,-0.04359862,6,545.98,540.89
آباد,2010,4,-0.00217077,8,539.32,539.72
آباد,2010,5,-0.03335751,6,538.54,521.71
آباد,2010,6,-0.00233827,9,521.71,520.49
آباد,2010,7,-0.00390625,6,520.49,518.46
آباد,2010,8,-0.01803922,13,518.46,509.11
آباد,2010,9,0.0,4,509.11,509.11
آباد,2010,10,-0.00239617,3,509.11,507.89
آباد,2010,11,-0.02241793,7,507.07,496.5
آباد,2010,12,-0.01064701,4,492.43,491.21
آباد,2011,1,0.00248344,4,491.21,492.43
آباد,2011,2,-0.02477292,8,492.43,480.24
آباد,2011,3,-0.06604572,6,461.12,448.52
آباد,2011,4,0.10426111,19,448.92,495.28
آباد,2011,5,-0.01313629,14,494.47,488.78
آباد,2011,6,0.04966829,8,488.37,513.05
آباد,2011,7,-0.0573543,11,510.68,483.63
آباد,2011,8,0.03729146,8,483.63,501.66
آباد,2011,9,0.0794702,15,503.56,541.53
آباد,2011,10,0.07887818,20,546.75,584.24
آباد,2011,11,-0.12347685,11,583.29,512.1
آباد,2011,12,0.4476367,15,532.51,741.34
آباد,2012,1,-0.12548015,19,753.68,648.32
آباد,2012,2,0.37774524,20,647.84,893.21
آباد,2012,3,-0.08926674,17,924.54,813.48
آباد,2012,4,-0.11668611,20,782.15,718.56
آباد,2012,5,0.11756935,22,746.56,803.04
آباد,2012,6,-0.12928341,11,803.04,699.22
آباد,2012,7,0.04118993,19,704.55,728.02
آباد,2012,8,0.02710623,16,728.55,747.75
آباد,2012,9,-0.05135521,18,722.69,709.35
آباد,2012,10,0.0924812,23,697.08,774.95
آباد,2012,11,0.02064694,17,758.42,790.95
آباد,2012,12,-0.07282535,22,816.02,733.35
آباد,2013,1,-0.16,19,705.08,616.02
آباد,2013,2,0.0,16,640.55,616.02
آباد,2013,3,0.01385281,18,613.88,624.55
آباد,2013,4,0.04013664,19,649.08,649.62
آباد,2013,5,0.02380952,21,643.75,665.08
آباد,2013,6,0.23576584,19,691.22,821.89
آباد,2013,7,0.37214444,17,853.36,1127.75
آباد,2013,8,-0.11034115,20,1149.39,1003.31
آباد,2013,9,0.03475135,21,1003.31,1038.18
آباد,2013,10,-0.02779386,21,1002.11,1009.32
آباد,2013,11,0.54496724,20,993.69,1559.37
آباد,2013,12,0.88511951,21,1621.29,2939.6
آباد,2014,1,-0.24560327,19,2843.42,2217.63
آباد,2014,2,-0.12361073,17,2303.59,1943.5
آباد,2014,3,-0.12619858,17,1920.06,1698.24
آباد,2014,4,-0.10265487,18,1757.75,1523.9
آباد,2014,5,-0.24345432,17,1476.41,1152.9
آباد,2014,6,-0.14219919,21,1112.41,988.96
آباد,2014,7,0.40805369,19,1028.12,1392.51
آباد,2014,8,-0.10104862,22,1367.29,1251.8
آباد,2014,9,0.07582184,22,1245.83,1346.71
آباد,2014,10,0.33218334,19,1396.49,1794.07
آباد,2014,11,0.583833,20,1865.75,3210.47
آباد,2014,12,-0.26876163,19,3107.59,2347.62
آباد,2015,1,-0.21741589,21,2256.03,1837.21
آباد,2015,2,-0.01481214,4,1770.17,1810.0
آباد,2015,3,0.23,12,2049.41,2226.3
آباد,2015,4,-0.0849963,20,2315.15,2037.07
آباد,2015,5,0.05088853,20,1975.37,2140.73
آباد,2015,6,-0.04996157,21,2235.35,2033.78
آباد,2015,7,0.0911145,13,2050.23,2219.09
آباد,2015,8,-0.1154941,19,2255.18,1962.79
آباد,2015,9,0.02712644,22,1968.21,2016.04
آباد,2015,10,-0.06580125,20,1961.89,1883.38
آباد,2015,11,-0.02108289,22,1951.06,1843.67
آباد,2015,12,-0.15222712,19,1824.72,1563.02
آباد,2016,1,0.15993072,22,1524.21,1812.99
آباد,2016,2,0.13140866,20,1844.58,2051.23
آباد,2016,3,-0.09326881,16,2011.53,1859.92
آباد,2016,4,-0.0060336,13,1857.21,1848.69
آباد,2016,5,-0.0990943,22,1896.96,1665.5
آباد,2016,6,0.05854524,19,1674.36,1763.01
آباد,2016,7,-0.05922586,14,1764.98,1658.59
آباد,2016,8,0.03102625,23,1675.41,1710.05
آباد,2016,9,0.15972222,18,1712.03,1983.18
آباد,2016,10,0.04840319,21,1890.16,2079.18
آباد,2016,11,0.07996192,19,2155.38,2245.43
آباد,2016,12,-0.16394888,20,2146.47,1877.3
آباد,2017,1,0.15392725,22,1870.37,2166.26
آباد,2017,2,0.15029694,20,2182.1,2491.85
آباد,2017,3,-0.03335981,17,2615.55,2408.72
آباد,2017,4,-0.00903862,16,2403.77,2386.95
آباد,2017,5,0.08167496,20,2479.97,2581.9
آباد,2017,6,0.25430416,16,2710.55,3548.75
آباد,2017,7,-0.07250418,21,3583.39,3291.45
آباد,2017,8,-0.15544197,21,3207.34,2779.82
آباد,2017,9,-0.1509434,19,2736.28,2360.23
آباد,2017,10,0.02180294,22,2307.78,2411.69
آباد,2017,11,-0.07139926,19,2420.59,2239.49
آباد,2017,12,0.10119311,21,2271.16,2466.12
آباد,2018,1,-0.0276886,23,2468.09,2397.83
آباد,2018,2,-0.09079653,18,2349.34,2180.12
آباد,2018,3,-0.14888788,15,2244.44,1855.52
