month,annual_rate_pct,monthly_rate_pct
2003-01,11.0,0.008735
2003-02,11.0,0.008735
2003-03,11.0,0.008735
2003-04,11.0,0.008735
2003-05,11.0,0.008735
2003-06,11.0,0.008735
2003-07,11.0,0.008735
2003-08,11.0,0.008735
2003-09,11.0,0.008735
2003-10,11.0,0.008735
2003-11,11.0,0.008735
2003-12,11.0,0.008735
2004-01,11.0,0.008735
2004-02,11.0,0.008735
2004-03,11.0,0.008735
2004-04,11.0,0.008735
2004-05,11.0,0.008735
2004-06,11.0,0.008735
2004-07,11.0,0.008735
2004-08,11.0,0.008735
2004-09,11.0,0.008735
2004-10,11.0,0.008735
2004-11,11.0,0.008735
2004-12,11.0,0.008735
2005-01,11.0,0.008735
2005-02,11.0,0.008735
2005-03,11.0,0.008735
2005-04,11.0,0.008735
2005-05,11.0,0.008735
2005-06,11.0,0.008735
2005-07,11.0,0.008735
2005-08,11.0,0.008735
2005-09,11.0,0.008735
2005-10,11.0,0.008735
2005-11,11.0,0.008735
2005-12,11.0,0.008735
2006-01,11.0,0.008735
2006-02,11.0,0.008735
2006-03,11.0,0.008735
2006-04,11.0,0.008735
2006-05,11.0,0.008735
2006-06,11.0,0.008735
2006-07,11.0,0.008735
2006-08,11.0,0.008735
2006-09,11.0,0.008735
2006-10,11.0,0.008735
2006-11,11.0,0.008735
2006-12,11.0,0.008735
2007-01,11.0,0.008735
2007-02,11.0,0.008735
2007-03,11.0,0.008735
2007-04,11.0,0.008735
2007-05,11.0,0.008735
2007-06,11.0,0.008735
2007-07,11.0,0.008735
2007-08,11.0,0.008735
2007-09,11.0,0.008735
2007-09,12.0,0.009489
2007-10,12.0,0.009489
2007-11,12.0,0.009489
2007-12,12.0,0.009489
2008-01,12.0,0.009489
2008-02,12.0,0.009489
2008-03,12.0,0.009489
2008-04,12.0,0.009489
2008-05,12.0,0.009489
2008-06,12.0,0.009489
2008-07,12.0,0.009489
2008-08,12.0,0.009489
2008-09,12.0,0.009489
2008-10,12.0,0.009489
2008-10,15.0,0.011715
2008-11,15.0,0.011715
2008-12,15.0,0.011715
2009-01,15.0,0.011715
2009-02,15.0,0.011715
2009-03,15.0,0.011715
2009-04,15.0,0.011715
2009-05,15.0,0.011715
2009-06,15.0,0.011715
2009-07,15.0,0.011715
2009-08,15.0,0.011715
2009-09,15.0,0.011715
2009-09,12.0,0.009489
2009-10,12.0,0.009489
2009-11,12.0,0.009489
2009-12,12.0,0.009489
